"Date","VKOSPI_Close","VKOSPI_Change"
2016-09-06,10.84,-5.24
2016-09-07,11.08,2.21
2016-09-08,11.13,0.45
2016-09-09,11.56,3.86
2016-09-12,16.47,42.47
2016-09-13,15.71,-4.61
2016-09-19,14.01,-10.82
2016-09-20,13.96,-0.36
2016-09-21,14.04,0.57
2016-09-22,12.23,-12.89
2016-09-23,11.88,-2.86
2016-09-26,12.68,6.73
2016-09-27,12.54,-1.1
2016-09-28,12.79,1.99
2016-09-29,12.33,-3.6
2016-09-30,14.11,14.44
2016-10-04,13.88,-1.63
2016-10-05,13.94,0.43
2016-10-06,13.83,-0.79
2016-10-07,14.24,2.96
2016-10-10,14.47,1.62
2016-10-11,15.46,6.84
2016-10-12,14.75,-4.59
2016-10-13,15.19,2.98
2016-10-14,14.11,-7.11
2016-10-17,14.55,3.12
2016-10-18,13.92,-4.33
2016-10-19,13.65,-1.94
2016-10-20,13.35,-2.2
2016-10-21,13.18,-1.27
2016-10-24,12.8,-2.88
2016-10-25,12.62,-1.41
2016-10-26,13.39,6.1
2016-10-27,13.08,-2.32
2016-10-28,13.23,1.15
2016-10-31,14.61,10.43
2016-11-01,14.79,1.23
2016-11-02,17.25,16.63
2016-11-03,16.94,-1.8
2016-11-04,18.41,8.68
2016-11-07,17.7,-3.86
2016-11-08,16.52,-6.67
2016-11-09,19.26,16.59
2016-11-10,14.23,-26.12
2016-11-11,15.04,5.69
2016-11-14,16.74,11.3
2016-11-15,16.23,-3.05
2016-11-16,14.93,-8.01
2016-11-17,14.08,-5.69
2016-11-18,13.71,-2.63
2016-11-21,13.86,1.09
2016-11-22,12.85,-7.29
2016-11-23,12.25,-4.67
2016-11-24,12.42,1.39
2016-11-25,12.51,0.72
2016-11-28,12.78,2.16
2016-11-29,12.96,1.41
2016-11-30,12.8,-1.23
2016-12-01,12.94,1.09
2016-12-02,13.49,4.25
2016-12-05,13.16,-2.45
2016-12-06,12.29,-6.61
2016-12-07,11.68,-4.96
2016-12-08,11.68,0
2016-12-09,11.84,1.37
2016-12-12,11.85,0.08
2016-12-13,11.39,-3.88
2016-12-14,11.31,-0.7
2016-12-15,11.04,-2.39
2016-12-16,10.92,-1.09
2016-12-19,11.28,3.3
2016-12-20,11.03,-2.22
2016-12-21,11.08,0.45
2016-12-22,11.09,0.09
2016-12-23,11.09,0
2016-12-26,11.37,2.52
2016-12-27,11.5,1.14
2016-12-28,11.22,-2.43
2016-12-29,11.51,2.58
2017-01-02,11.68,1.48
2017-01-03,11.24,-3.77
2017-01-04,10.9,-3.02
